UNIT,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,date
DAY,1687046400,15.6384611260559,15.8266055272182,15.3574795710316,15.4445849501354,2023-06-18
DAY,1687132800,15.4445849501354,16.0901054707045,15.3977913959571,16.0901054707045,2023-06-19
DAY,1687219200,16.0901054707045,16.6570022772585,15.7510223957638,16.6262322631386,2023-06-20
DAY,1687305600,16.6262322631386,17.3756448951463,16.5560979754041,17.2168869811385,2023-06-21
DAY,1687392000,17.2168869811385,17.6860177252163,16.5834308025814,16.6111170985283,2023-06-22
DAY,1687478400,16.6111170985283,17.5091972112364,16.2172583234071,17.1388955874932,2023-06-23
DAY,1687564800,17.1388955874932,17.5241134332218,16.4323384345652,16.6638275806227,2023-06-24
DAY,1687651200,16.6638275806227,17.3846666529959,16.5983676840122,16.9648610305938,2023-06-25
DAY,1687737600,16.9648610305938,17.1114675951814,15.9851019167449,16.2765249333848,2023-06-26
DAY,1687824000,16.2765249333848,16.9266800264799,16.1622773545393,16.6300568261716,2023-06-27
DAY,1687910400,16.6300568261716,16.6300568261716,15.6979586092469,15.9669486963303,2023-06-28
DAY,1687996800,15.9669486963303,18.2139843084788,15.8684979647316,18.0014073693146,2023-06-29
DAY,1688083200,18.0014073693146,19.9329011727481,17.2486256462591,18.8720016710484,2023-06-30
DAY,1688169600,18.8720016710484,18.9983188426084,17.9399501483288,18.7117439963035,2023-07-01
DAY,1688256000,18.7117439963035,19.7055319807296,18.5624385164893,19.4486913187693,2023-07-02
DAY,1688342400,19.4486913187693,19.6304414163615,18.8954197799014,19.2492773784087,2023-07-03
DAY,1688428800,19.2492773784087,19.9071365179012,19.0756141366353,19.1421542123469,2023-07-04
DAY,1688515200,19.1421542123469,19.3636944304946,18.4519297653457,18.9778689547931,2023-07-05
DAY,1688601600,18.9778689547931,20.9261750965675,18.8580354411537,19.6107687213227,2023-07-06
DAY,1688688000,19.6107687213227,21.7013228061027,19.3032284828486,21.5272284238093,2023-07-07
DAY,1688774400,21.5272284238093,22.4775311119912,21.3751808173209,21.8706678112037,2023-07-08
DAY,1688860800,21.8706678112037,22.3657617193129,21.0666189291633,21.3423308618728,2023-07-09
DAY,1688947200,21.3423308618728,21.7712818052661,20.5451767522794,21.2912282059337,2023-07-10
DAY,1689033600,21.2912282059337,22.3143048351033,21.2223023911718,22.0662223283447,2023-07-11
DAY,1689120000,22.0662223283447,22.7196918793291,21.803070276376,21.9511137552514,2023-07-12
DAY,1689206400,21.9511137552514,26.5978686062757,21.4708412685542,25.9903488910373,2023-07-13
DAY,1689292800,25.9903488910373,30.3399422669624,25.2954607726302,26.6960122607982,2023-07-14
DAY,1689379200,26.6960122607982,29.0638324069273,26.622147873681,27.4732799170299,2023-07-15
DAY,1689465600,27.4732799170299,28.5474926894937,26.6926872218464,27.4250698496705,2023-07-16
DAY,1689552000,27.4250698496705,28.4133320055988,25.8146587650216,26.8017511480275,2023-07-17
DAY,1689638400,26.8017511480275,27.0709659255926,24.7770736554418,25.5565932029352,2023-07-18
DAY,1689724800,25.5565932029352,26.9541903971313,25.3857128785529,26.3091219259878,2023-07-19
DAY,1689811200,26.3091219259878,27.3088316640246,25.1407876149049,25.3778074926759,2023-07-20
DAY,1689897600,25.3778074926759,25.9649820026408,25.0748296261228,25.4971766064085,2023-07-21
DAY,1689984000,25.4971766064085,25.9342095828873,24.2541275761779,24.5159473152872,2023-07-22
DAY,1690070400,24.5159473152872,25.2051184930281,24.2045887189966,24.7431035273378,2023-07-23
DAY,1690156800,24.7431035273378,24.8070437035616,23.006025741177,23.3520313027487,2023-07-24
DAY,1690243200,23.3520313027487,23.5664544152687,22.7886413801899,23.2694126070436,2023-07-25
DAY,1690329600,23.2694126070436,25.5698467671765,23.1785908727426,25.1684076630946,2023-07-26
DAY,1690416000,25.1684076630946,25.6013326223092,24.6723883325319,25.083102030951,2023-07-27
DAY,1690502400,25.083102030951,25.4798762931171,24.5621954257303,24.8252605430706,2023-07-28
DAY,1690588800,24.8252605430706,25.3813644991681,24.7663761260372,25.1638758027455,2023-07-29
DAY,1690675200,25.1638758027455,25.2004004042387,23.7527695568564,24.2426792429256,2023-07-30
